file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
CHA4_e.tif,coca,28.42,CHA,0,113.5,198.5,285,202,zz
CHA4_d.tif,coca,28.42,CHA,0,99,208,300,203,zz
CHA4_c.tif,coca,28.42,CHA,0,101,188.5,299.5,195,zz
CHA4_b.tif,coca,28.42,CHA,0,91.5,203,307,200.5,zz
CHA4_a.tif,coca,28.42,CHA,0,78.5,198,320,198.5,zz
CHA3_e.tif,coca,28.42,CHA,0,91.5,208,308,190.5,zz
CHA3_d.tif,coca,28.42,CHA,0,89.83,204.83,309.83,199.17,zz
CHA3_c.tif,coca,28.42,CHA,0,110.5,195.83,288.5,202.17,zz
CHA3_b.tif,coca,28.42,CHA,0,102.83,189.83,297.17,207.17,zz
CHA3_a.tif,coca,28.42,CHA,0,86.5,200.83,313.17,204.83,zz
CHA2_e.tif,coca,28.42,CHA,0,109.5,200.75,289,200,zz
CHA2_d.tif,coca,28.42,CHA,0,105.17,202.83,294.83,204.17,zz
CHA2_c.tif,coca,28.42,CHA,0,104.5,195.5,294.17,196.83,zz
CHA2_b.tif,coca,28.42,CHA,0,107.5,198,291,203.5,zz
CHA2_a.tif,coca,28.42,CHA,0,76.83,205.5,322.83,198.83,zz
CHA1_e.tif,coca,28.42,CHA,0,94.83,203.5,305.17,200.83,zz
CHA1_d.tif,coca,28.42,CHA,0,103.5,204.17,295.83,193.83,zz
CHA1_c.tif,coca,28.42,CHA,0,107.5,202.83,290.83,202.83,zz
CHA1_b.tif,coca,28.42,CHA,0,93.83,201.83,306.5,193.17,zz
CHA1_a.tif,coca,28.42,CHA,0,107.25,200,292.25,202.5,zz
CHI4_e.tif,coca,28.42,CHI,0,96.5,199,302.5,192,zz
CHI4_d.tif,coca,28.42,CHI,0,106.83,200.17,290.83,201.83,zz
CHI4_c.tif,coca,28.42,CHI,0,75.5,201.17,322.83,198.17,zz
CHI4_b.tif,coca,28.42,CHI,0,76.5,195.83,322.17,197.5,zz
CHI4_a.tif,coca,28.42,CHI,0,75.83,202.83,323.17,193.17,zz
CHI3_e.tif,coca,28.42,CHI,0,91.83,191.17,307.17,197.5,zz
CHI3_d.tif,coca,28.42,CHI,0,111.5,207.25,288,189,zz
CHI3_c.tif,coca,28.42,CHI,0,101.75,198,297,197,zz
CHI3_b.tif,coca,28.42,CHI,0,60,198.5,337.5,198.5,zz
CHI3_a.tif,coca,28.42,CHI,0,71.5,197.17,327.5,203.17,zz
CHI2_e.tif,coca,28.42,CHI,0,89.83,203.17,308.83,204.17,zz
CHI2_d.tif,coca,28.42,CHI,0,93.5,204.83,305.17,192.17,zz
CHI2_c.tif,coca,28.42,CHI,0,76.83,206.5,322.17,201.83,zz
CHI2_b.tif,coca,28.42,CHI,0,78.83,209.17,320.17,198.17,zz
CHI2_a.tif,coca,28.42,CHI,0,75.5,212.5,323.83,192.83,zz
CHI1_e.tif,coca,28.42,CHI,0,81.5,202.83,316.5,199.5,zz
CHI1_d.tif,coca,28.42,CHI,0,86.5,197.83,313.17,196.5,zz
CHI1_c.tif,coca,28.42,CHI,0,71.83,209.17,326.83,195.83,zz
CHI1_b.tif,coca,28.42,CHI,0,81.83,201.5,317.83,205.5,zz
CHI1_a.tif,coca,28.42,CHI,0,90.17,192.17,309.5,192.5,zz
CRE4_e.tif,coca,28.42,CRE,0,114.17,202.17,284.17,198.17,zz
CRE4_d.tif,coca,28.42,CRE,0,114.75,197.25,285.25,202,zz
CRE4_c.tif,coca,28.42,CRE,0,125.5,195,274.25,205.5,zz
CRE4_b.tif,coca,28.42,CRE,0,109.5,200,290.25,202.25,zz
CRE4_a.tif,coca,28.42,CRE,0,116.75,200.25,283.5,199.75,zz
CRE3_e.tif,coca,28.42,CRE,0,120.5,199.75,279.5,201,zz
CRE3_d.tif,coca,28.42,CRE,0,105.75,195.25,293.5,203.5,zz
CRE3_c.tif,coca,28.42,CRE,0,111.5,201,287.25,199.25,zz
CRE3_b.tif,coca,28.42,CRE,0,102.75,208.5,296,198,zz
CRE3_a.tif,coca,28.42,CRE,0,119.5,207.5,279.5,197.75,zz
CRE2_e.tif,coca,28.42,CRE,0,125.5,197.5,273.5,205,zz
CRE2_d.tif,coca,28.42,CRE,0,136.5,197.33,263.5,201.33,zz
CRE2_c.tif,coca,28.42,CRE,0,118.75,199.25,280.5,210.5,zz
CRE2_b.tif,coca,28.42,CRE,0,134.5,198,264.33,199.83,zz
CRE2_a.tif,coca,28.42,CRE,0,124.75,191.75,274.25,203.75,zz
CRE1_e.tif,coca,28.42,CRE,0,135.67,200.83,263.17,200,zz
CRE1_d.tif,coca,28.42,CRE,0,119.5,185.25,280,193.5,zz
CRE1_c.tif,coca,28.42,CRE,0,105.75,204.75,293.25,198.5,zz
CRE1_b.tif,coca,28.42,CRE,0,122.5,158.5,278.25,214,zz
CRE1_a.tif,coca,28.42,CRE,0,121.5,200.25,277.5,188.25,zz
DUL4_e.tif,coca,28.42,DUL,0,115.5,206.5,284.17,199.17,zz
DUL4_d.tif,coca,28.42,DUL,0,101.5,206.5,296.5,200,zz
DUL4_c.tif,coca,28.42,DUL,0,121,201,278.5,205.5,zz
DUL4_b.tif,coca,28.42,DUL,0,114,205.5,286.5,204.5,zz
DUL4_a.tif,coca,28.42,DUL,0,84,194.5,315,219.5,zz
DUL3_e.tif,coca,28.42,DUL,0,118.83,202.5,280.83,202.83,zz
DUL3_d.tif,coca,28.42,DUL,0,107.5,207.5,293,201,zz
DUL3_c.tif,coca,28.42,DUL,0,105.5,201.5,295,202.5,zz
DUL3_b.tif,coca,28.42,DUL,0,108.83,203.83,290.17,187.83,zz
DUL3_a.tif,coca,28.42,DUL,0,100,208,299,198,zz
DUL2_e.tif,coca,28.42,DUL,0,92,198.5,306.5,208.5,zz
DUL2_d.tif,coca,28.42,DUL,0,119.83,202.83,280.17,195.17,zz
DUL2_c.tif,coca,28.42,DUL,0,104.83,199.83,294.83,197.17,zz
DUL2_b.tif,coca,28.42,DUL,0,107.83,205.17,291.83,204.17,zz
DUL2_a.tif,coca,28.42,DUL,0,95,206.5,304.5,193.5,zz
DUL1_e.tif,coca,28.42,DUL,0,98,204,300.5,187,zz
DUL1_d.tif,coca,28.42,DUL,0,103.17,195.83,297.17,196.83,zz
DUL1_c.tif,coca,28.42,DUL,0,86,206,313.5,197.5,zz
DUL1_b.tif,coca,28.42,DUL,0,98.5,198,300.83,190.83,zz
DUL1_a.tif,coca,28.42,DUL,0,101.83,193.5,297.83,195.83,zz
GIG4_e.tif,coca,28.42,GIG,0,80,194.5,318.5,204.5,zz
GIG4_d.tif,coca,28.42,GIG,0,92.5,196,305.5,198.5,zz
GIG4_c.tif,coca,28.42,GIG,0,88.5,197.5,311.5,202,zz
GIG4_b.tif,coca,28.42,GIG,0,77,209.5,322.5,205.5,zz
GIG4_a.tif,coca,28.42,GIG,0,75,204,323.5,198,zz
GIG3_e.tif,coca,28.42,GIG,0,86,199,313,201,zz
GIG3_d.tif,coca,28.42,GIG,0,76,203.5,323.5,200.5,zz
GIG3_c.tif,coca,28.42,GIG,0,70,198.5,330,195,zz
GIG3_b.tif,coca,28.42,GIG,0,84,201.5,315,195.5,zz
GIG3_a.tif,coca,28.42,GIG,0,66,207,333.5,193.5,zz
GIG2_e.tif,coca,28.42,GIG,0,84,210,316,195.5,zz
GIG2_d.tif,coca,28.42,GIG,0,66,196,333.5,198,zz
GIG2_c.tif,coca,28.42,GIG,0,78,201.5,321.5,204.5,zz
GIG2_b.tif,coca,28.42,GIG,0,74,205.5,325,198.5,zz
GIG2_a.tif,coca,28.42,GIG,0,76,196.5,324,196,zz
GIG1_e.tif,coca,28.42,GIG,0,79.5,196,320,204,zz
GIG1_d.tif,coca,28.42,GIG,0,72,209,327.5,201,zz
GIG1_c.tif,coca,28.42,GIG,0,64.5,195,335.5,202.5,zz
GIG1_b.tif,coca,28.42,GIG,0,76.5,203,324,201,zz
