file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
20220622-TX-Shinnery-REU-1B-1-__56_coords.jpg,oak,132,na,0,480,95,30.5,82.5,zz
20220622-TX-Shinnery-REU-1B-1-__57_coords.jpg,oak,132,na,1,481,121,32.5,125.5,zz
20220622-TX-Shinnery-REU-1B-1-__58_coords.jpg,oak,132,na,2,34,105,480.5,89.5,zz
20220622-TX-Shinnery-REU-1B-2-__39_coords.jpg,oak,132,na,3,481,171,32.5,147.5,zz
20220622-TX-Shinnery-REU-1B-2-__40_coords.jpg,oak,132,na,4,481,125,30.5,110.5,zz
20220622-TX-Shinnery-REU-1B-2-__41_coords.jpg,oak,132,na,5,482,113,33.5,135.5,zz
20220622-TX-Shinnery-REU-1B-2-__42_coords.jpg,oak,132,na,6,480,140,32.5,142.5,zz
20220622-TX-Shinnery-REU-1B-2-__43_coords.jpg,oak,132,na,7,480,164,32.5,156.5,zz
20220622-TX-Shinnery-REU-1B-2-__44_coords.jpg,oak,132,na,8,481,71,32.5,78.5,zz
20220622-TX-Shinnery-REU-1B-2-__45_coords.jpg,oak,132,na,9,482,132,33.5,148.5,zz
20220622-TX-Shinnery-REU-1B-2-__46_results.jpg,oak,132,na,10,482,97,33.5,98.5,zz
20220622-TX-Shinnery-REU-1C-1-__42_coords.jpg,oak,132,na,11,479,141,32.5,139.5,zz
20220622-TX-Shinnery-REU-1C-1-__43_coords.jpg,oak,132,na,12,481,114,33.5,125.5,zz
20220622-TX-Shinnery-REU-1C-1-__44_coords.jpg,oak,132,na,13,479,134,31.5,140.5,zz
20220622-TX-Shinnery-REU-1C-1-__45_coords.jpg,oak,132,na,14,479,151,32.5,133.5,zz
20220622-TX-Shinnery-REU-1C-2-__44_coord.jpg,oak,132,na,15,480,98,31.5,94.5,zz
20220622-TX-Shinnery-REU-1C-2-__45_coords.jpg,oak,132,na,16,480,158,31.5,145.5,zz
20220622-TX-Shinnery-REU-1C-2-__46_coords.jpg,oak,132,na,17,481,143,34.5,149.5,zz
