file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
Col0_rep_2_20231206_0001_binary_leaf1.jpg,arabidopsis,152,Col0,1,36,96,480.5,95.5,aj
Col0_rep_2_20231206_0001_binary_leaf10.jpg,arabidopsis,152,Col0,10,478,101,33.5,102.5,aj
Col0_rep_2_20231206_0001_binary_leaf11.jpg,arabidopsis,152,Col0,11,477,68,37.5,90.5,aj
Col0_rep_2_20231206_0001_binary_leaf12.jpg,arabidopsis,152,Col0,12,475,110,33.5,100.5,aj
Col0_rep_2_20231206_0001_binary_leaf13.jpg,arabidopsis,152,Col0,3,483,125,36.5,120.5,aj
Col0_rep_2_20231206_0001_binary_leaf14.jpg,arabidopsis,152,Col0,14,40,105,486.5,105.5,aj
Col0_rep_2_20231206_0001_binary_leaf15.jpg,arabidopsis,152,Col0,15,481,160,34.5,190.5,aj
Col0_rep_2_20231206_0001_binary_leaf16.jpg,arabidopsis,152,Col0,16,480,40,33.5,55.5,aj
Col0_rep_2_20231206_0001_binary_leaf17.jpg,arabidopsis,152,Col0,17,475,138,31.5,127.5,aj
Col0_rep_2_20231206_0001_binary_leaf18.jpg,arabidopsis,152,Col0,18,482,62,37.5,63.5,aj
Col0_rep_2_20231206_0001_binary_leaf19.jpg,arabidopsis,152,Col0,19,472,57,34.5,47.5,aj
Col0_rep_2_20231206_0001_binary_leaf2.jpg,arabidopsis,152,Col0,2,480,67,36.5,63.5,aj
Col0_rep_2_20231206_0001_binary_leaf20.jpg,arabidopsis,152,Col0,20,476,78,36.5,69.5,aj
Col0_rep_2_20231206_0001_binary_leaf21.jpg,arabidopsis,152,Col0,21,477,100,34.5,101.5,aj
Col0_rep_2_20231206_0001_binary_leaf22.jpg,arabidopsis,152,Col0,22,41,95,481.5,104.5,aj
Col0_rep_2_20231206_0001_binary_leaf3.jpg,arabidopsis,152,Col0,3,41,122,480.5,135.5,aj
Col0_rep_2_20231206_0001_binary_leaf32.jpg,arabidopsis,152,Col0,32,478,67,33.5,63.5,aj
Col0_rep_2_20231206_0001_binary_leaf4.jpg,arabidopsis,152,Col0,4,480,124,37.5,125.5,aj
Col0_rep_2_20231206_0001_binary_leaf5.jpg,arabidopsis,152,Col0,5,480,122,33.5,108.5,aj
Col0_rep_2_20231206_0001_binary_leaf6.jpg,arabidopsis,152,Col0,6,473,130,35.5,137.5,aj
Col0_rep_2_20231206_0001_binary_leaf7.jpg,arabidopsis,152,Col0,7,478,28,30.5,45.5,aj
Col0_rep_2_20231206_0001_binary_leaf8.jpg,arabidopsis,152,Col0,8,481,127,33.5,113.5,aj
Col0_rep_2_20231206_0001_binary_leaf9.jpg,arabidopsis,152,Col0,9,477,71,34.5,83.5,aj
Col0_rep_2_leaf_1.jpg,arabidopsis,152,Col0,1,473,167,37.5,163.5,ak
Col0_rep_2_leaf_11.jpg,arabidopsis,152,Col0,11,479,17,34.5,39.5,ak
Col0_rep_2_leaf_12.jpg,arabidopsis,152,Col0,12,482,146,37.5,128.5,ak
Col0_rep_2_leaf_13.jpg,arabidopsis,152,Col0,13,474,125,33.5,127.5,ak
Col0_rep_2_leaf_14.jpg,arabidopsis,152,Col0,14,481,89,31.5,78.5,ak
Col0_rep_2_leaf_15.jpg,arabidopsis,152,Col0,15,480,92,37.5,88.5,ak
Col0_rep_2_leaf_16.jpg,arabidopsis,152,Col0,16,481,159,33.5,162.5,ak
Col0_rep_2_leaf_17.jpg,arabidopsis,152,Col0,17,481,70,37.5,99.5,ak
Col0_rep_2_leaf_18.jpg,arabidopsis,152,Col0,18,475,65,34.5,65.5,ak
Col0_rep_2_leaf_19.jpg,arabidopsis,152,Col0,19,36,96,480.5,87.5,ak
Col0_rep_2_leaf_2.jpg,arabidopsis,152,Col0,2,481,119,29.5,123.5,ak
Col0_rep_2_leaf_20.jpg,arabidopsis,152,Col0,20,476,105,32.5,111.5,ak
Col0_rep_2_leaf_21.jpg,arabidopsis,152,Col0,21,36,73,481.5,73.5,ak
Col0_rep_2_leaf_22.jpg,arabidopsis,152,Col0,22,479,60,31.5,59.5,ak
Col0_rep_2_leaf_23.jpg,arabidopsis,152,Col0,23,482,177,35.5,152.5,ak
Col0_rep_2_leaf_24.jpg,arabidopsis,152,Col0,24,482,108,35.5,95.5,ak
Col0_rep_2_leaf_25.jpg,arabidopsis,152,Col0,25,480,84,32.5,80.5,ak
Col0_rep_2_leaf_4.jpg,arabidopsis,152,Col0,4,480,113,31.5,121.5,ak
Col0_rep_2_leaf_5.jpg,arabidopsis,152,Col0,5,482,144,30.5,128.5,ak
Col0_rep_2_leaf_6.jpg,arabidopsis,152,Col0,6,489,107,35.5,113.5,ak
Col0_rep_2_leaf_7.jpg,arabidopsis,152,Col0,7,481,125,31.5,104.5,ak
Col0_rep_2_leaf_8.jpg,arabidopsis,152,Col0,8,482,135,29.5,166.5,ak
Col0_rep_2_leaf_9.jpg,arabidopsis,152,Col0,9,482,135,29.5,166.5,ak
LP2-2_rep_1_p1_20231206_0001_binary_leaf1.jpg,arabidopsis,176,LP-2,1,45,103,475.5,88.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf10.jpg,arabidopsis,176,LP-2,10,40,123,476.5,110.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf11.jpg,arabidopsis,176,LP-2,11,71,83,244.5,315.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf12.jpg,arabidopsis,176,LP-2,12,469,103,33.5,116.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf13.jpg,arabidopsis,176,LP-2,13,479,102,36.5,103.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf14.jpg,arabidopsis,176,LP-2,14,470,122,48.5,106.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf15.jpg,arabidopsis,176,LP-2,15,475,130,40.5,141.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf16.jpg,arabidopsis,176,LP-2,16,481,82,33.5,77.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf17.jpg,arabidopsis,176,LP-2,17,466,113,30.5,105.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf18.jpg,arabidopsis,176,LP-2,18,471,108,38.5,124.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf19.jpg,arabidopsis,176,LP-2,19,476,148,33.5,131.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf2.jpg,arabidopsis,176,LP-2,2,480,106,35.5,108.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf20.jpg,arabidopsis,176,LP-2,20,33.5,90.5,476.5,96.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf3.jpg,arabidopsis,176,LP-2,3,479,142,42.5,137.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf4.jpg,arabidopsis,176,LP-2,4,40,93,478.5,104.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf5.jpg,arabidopsis,176,LP-2,5,479,145,36.5,142.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf6.jpg,arabidopsis,176,LP-2,6,476,94,37.5,93.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf7.jpg,arabidopsis,176,LP-2,7,474,157,41.5,172.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf8.jpg,arabidopsis,176,LP-2,8,478,49,33.5,43.5,al
LP2-2_rep_1_p1_20231206_0001_binary_leaf9.jpg,arabidopsis,176,LP-2,9,47,77,483.5,96.5,al
LP2-2_rep_1_p1_leaf_1.jpg,arabidopsis,176,LP-2,1,468,90,37.5,79.5,am
LP2-2_rep_1_p1_leaf_10.jpg,arabidopsis,176,LP-2,10,483,161,41.5,147.5,am
LP2-2_rep_1_p1_leaf_11.jpg,arabidopsis,176,LP-2,11,476,125,36.5,138.5,am
LP2-2_rep_1_p1_leaf_12.jpg,arabidopsis,176,LP-2,12,38,225,430.5,175.5,am
LP2-2_rep_1_p1_leaf_13.jpg,arabidopsis,176,LP-2,13,61,67,479.5,121.5,am
LP2-2_rep_1_p1_leaf_14.jpg,arabidopsis,176,LP-2,14,483,139,30.5,141.5,am
LP2-2_rep_1_p1_leaf_15.jpg,arabidopsis,176,LP-2,15,483,178,35.5,165.5,am
LP2-2_rep_1_p1_leaf_16.jpg,arabidopsis,176,LP-2,16,477,124,31.5,124.5,am
LP2-2_rep_1_p1_leaf_17.jpg,arabidopsis,176,LP-2,17,31,108,479.5,130.5,am
LP2-2_rep_1_p1_leaf_18.jpg,arabidopsis,176,LP-2,18,476,129,32.5,104.5,am
LP2-2_rep_1_p1_leaf_2.jpg,arabidopsis,176,LP-2,2,477,117,33.5,107.5,am
LP2-2_rep_1_p1_leaf_3.jpg,arabidopsis,176,LP-2,3,473,89,39.5,81.5,am
LP2-2_rep_1_p1_leaf_4.jpg,arabidopsis,176,LP-2,4,477,99,34.5,101.5,am
LP2-2_rep_1_p1_leaf_5.jpg,arabidopsis,176,LP-2,5,478,86,34.5,69.5,am
LP2-2_rep_1_p1_leaf_6.jpg,arabidopsis,176,LP-2,6,484,120,32.5,126.5,am
LP2-2_rep_1_p1_leaf_7.jpg,arabidopsis,176,LP-2,7,484,101,34.5,109.5,am
LP2-2_rep_1_p1_leaf_8.jpg,arabidopsis,176,LP-2,8,482,89,33.5,71.5,am
LP2-2_rep_1_p1_leaf_9.jpg,arabidopsis,176,LP-2,9,481,136,37.5,154.5,am
LP2-2_rep_1_p2_leaf_1.jpg,arabidopsis,176,LP-2,1,475.5,78.5,34.5,95.5,an
LP2-2_rep_1_p2_leaf_10.jpg,arabidopsis,176,LP-2,10,476,94,34.5,133.5,an
LP2-2_rep_1_p2_leaf_11.jpg,arabidopsis,176,LP-2,11,50,111,258.5,312.5,an
LP2-2_rep_1_p2_leaf_12.jpg,arabidopsis,176,LP-2,12,47,180,478.5,134.5,an
LP2-2_rep_1_p2_leaf_13.jpg,arabidopsis,176,LP-2,13,474,98,32.5,110.5,an
LP2-2_rep_1_p2_leaf_14.jpg,arabidopsis,176,LP-2,14,478,117,40.5,121.5,an
LP2-2_rep_1_p2_leaf_15.jpg,arabidopsis,176,LP-2,15,476,138,32.5,133.5,an
LP2-2_rep_1_p2_leaf_2.jpg,arabidopsis,176,LP-2,2,482,122,33.5,138.5,an
LP2-2_rep_1_p2_leaf_3.jpg,arabidopsis,176,LP-2,3,478,68,38.5,70.5,an
LP2-2_rep_1_p2_leaf_4.jpg,arabidopsis,176,LP-2,4,479,51,29.5,69.5,an
LP2-2_rep_1_p2_leaf_5.jpg,arabidopsis,176,LP-2,5,482,79,36.5,63.5,an
LP2-2_rep_1_p2_leaf_6.jpg,arabidopsis,176,LP-2,6,482,56,41.5,73.5,an
LP2-2_rep_1_p2_leaf_7.jpg,arabidopsis,176,LP-2,7,481,101,34.5,110.5,an
LP2-2_rep_1_p2_leaf_8.jpg,arabidopsis,176,LP-2,8,474,47,37.5,39.5,an
LP2-2_rep_1_p2_leaf_9.jpg,arabidopsis,176,LP-2,9,478,111,32.5,102.5,an
LP2-2_rep_2_p1_leaf_1.jpg,arabidopsis,176,LP-2,1,485,84,31.5,83.5,ao
LP2-2_rep_2_p1_leaf_10.jpg,arabidopsis,176,LP-2,10,488,125,37.5,113.5,ao
LP2-2_rep_2_p1_leaf_11.jpg,arabidopsis,176,LP-2,11,36,132,479.5,137.5,ao
LP2-2_rep_2_p1_leaf_2.jpg,arabidopsis,176,LP-2,2,477,102,30.5,94.5,ao
LP2-2_rep_2_p1_leaf_3.jpg,arabidopsis,176,LP-2,3,478,106,35.5,104.5,ao
LP2-2_rep_2_p1_leaf_4.jpg,arabidopsis,176,LP-2,4,478,66,32.5,74.5,ao
LP2-2_rep_2_p1_leaf_5.jpg,arabidopsis,176,LP-2,5,473,113,41.5,118.5,ao
LP2-2_rep_2_p1_leaf_6.jpg,arabidopsis,176,LP-2,6,482,115,33.5,97.5,ao
LP2-2_rep_2_p1_leaf_7.jpg,arabidopsis,176,LP-2,7,485,106,32.5,92.5,ao
LP2-2_rep_2_p1_leaf_8.jpg,arabidopsis,176,LP-2,8,469,136,35.5,140.5,ao
LP2-2_rep_2_p1_leaf_9.jpg,arabidopsis,176,LP-2,9,483,72,38.5,76.5,ao
LP2-2_rep_3_p1_leaf_1.jpg,arabidopsis,176,LP-2,1,458,106,35.5,98.5,aq
LP2-2_rep_3_p1_leaf_10.jpg,arabidopsis,176,LP-2,10,474,71,40.5,76.5,aq
LP2-2_rep_3_p1_leaf_11.jpg,arabidopsis,176,LP-2,11,481,61,35.5,68.5,aq
