file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
AM15_3_8_2a_3.jpg,cannabis,18.651,AM15_3,2,24,115,325.5,103.5,zz
AM15_3_8_2b_3.jpg,cannabis,16.454,AM15_3,2,24,92,326.5,93.5,zz
AM15_3_8_3b_5.jpg,cannabis,50.608,AM15_3,3,18.17,130.17,253.5,93.5,zz
AM15_3_8_4a_5.jpg,cannabis,67.349,AM15_3,4,23.5,172.17,202.17,70.83,zz
AM15_3_8_4b_5.jpg,cannabis,57.127,AM15_3,4,91.17,213.5,127.17,15.17,zz
AM15_3_8_5b_7.jpg,cannabis,53.652,AM15_3,5,16.17,186.17,178.5,40.5,zz
AM15_3_8_6a_7.jpg,cannabis,45.622,AM15_3,6,82,211,155.5,16,zz
AM15_3_8_6b_7.jpg,cannabis,36.856,AM15_3,6,121.5,211.5,95,14.5,zz
AM15_3_8_7a_7.jpg,cannabis,25.089,AM15_3,7,41.83,188.17,235.5,75,zz
AM15_3_8_7b_7.jpg,cannabis,22.531,AM15_3,7,87.5,211.5,124.5,15,zz
AM15_3_8_8a_7.jpg,cannabis,10.614,AM15_3,8,54,171,200.5,56,zz
AM15_3_8_8b_7.jpg,cannabis,13.078,AM15_3,8,50.5,162.5,217,72,zz
AM15_4_10_10a_5.jpg,cannabis,14.168,AM15_4,10,106,213,146,15.5,zz
AM15_4_10_2a_3.jpg,cannabis,14.889,AM15_4,2,299.5,152.5,20.5,111.5,zz
AM15_4_10_2b_3.jpg,cannabis,14.912,AM15_4,2,284.5,132,19.5,134,zz
AM15_4_10_3a_5.jpg,cannabis,34.619,AM15_4,3,303,157,20.83,102.83,zz
AM15_4_10_3b_5.jpg,cannabis,29.653,AM15_4,3,290,164,19.5,100.17,zz
AM15_4_10_4a_7.jpg,cannabis,53.584,AM15_4,4,26,212.5,203,24,zz
AM15_4_10_5a_7.jpg,cannabis,64.326,AM15_4,5,33.5,212.5,163,18.5,zz
AM15_4_10_5b_7.jpg,cannabis,57.9,AM15_4,5,104.5,15.5,95,214,zz
AM15_4_10_6a_7.jpg,cannabis,57.764,AM15_4,6,71.5,213,152.5,16,zz
AM15_4_10_7a_7.jpg,cannabis,51.969,AM15_4,7,94,15.5,81,214,zz
AM15_4_10_7b_7.jpg,cannabis,57.451,AM15_4,7,139,214,86.5,16,zz
AM15_4_10_8a_7.jpg,cannabis,40.366,AM15_4,8,128.5,213.5,96,16,zz
AM15_4_10_8b_7.jpg,cannabis,41.599,AM15_4,8,117,214,69.5,15,zz
AM15_4_10_9a_7.jpg,cannabis,25.321,AM15_4,9,100.5,213,175,15,zz
AM15_4_10_9b_7.jpg,cannabis,27.05,AM15_4,9,96.5,214.5,126.5,16.5,zz
AM15_5_9_2a_3.jpg,cannabis,8.755,AM15_5,2,273.5,107,19,138,zz
AM15_5_9_3a_3.jpg,cannabis,21.577,AM15_5,3,265,125.5,19.5,124,zz
AM15_5_9_4a_5.jpg,cannabis,47.262,AM15_5,4,322,130.5,21.5,106,zz
AM15_5_9_5a_5.jpg,cannabis,72.076,AM15_5,5,21.5,113,295.5,114.5,zz
AM15_5_9_5b_5.jpg,cannabis,74.594,AM15_5,5,20,139,269.5,114,zz
AM15_5_9_6a_7.jpg,cannabis,74.872,AM15_5,6,29.5,202,207.5,59,zz
AM15_5_9_6b_7.jpg,cannabis,73.912,AM15_5,6,58.5,212,161,18.5,zz
AM15_5_9_7a_7.jpg,cannabis,34.453,AM15_5,7,98.5,213.5,138,15,zz
AM15_5_9_7b_7.jpg,cannabis,34.561,AM15_5,7,129.5,199.5,83,15.5,zz
AM15_5_9_8a_7.jpg,cannabis,56.413,AM15_5,8,79,212.5,157,15.5,zz
AM15_5_9_8b_7.jpg,cannabis,56.071,AM15_5,8,17.5,96,221,145,zz
AM15_5_9_9a_7.jpg,cannabis,20.793,AM15_5,9,121,209.5,118.5,16,zz
AM15_5_9_9b_7.jpg,cannabis,18.824,AM15_5,9,68,183,195,38,zz
AM15_6_10_10b_5.jpg,cannabis,7.64,AM15_6,10,107.5,213.5,140,16,zz
AM15_6_10_2a_3.jpg,cannabis,21.759,AM15_6,2,289,123,19,119.5,zz
AM15_6_10_3a_5.jpg,cannabis,50.421,AM15_6,3,253,117.5,18.5,100,zz
AM15_6_10_3b_3.jpg,cannabis,47.584,AM15_6,3,88,16.5,100,214,zz
AM15_6_10_4a_5.jpg,cannabis,73.305,AM15_6,4,20,149.5,234,92.5,zz
AM15_6_10_4b_5.jpg,cannabis,67.775,AM15_6,4,69,16.5,184,210,zz
AM15_6_10_5a_7.jpg,cannabis,68.396,AM15_6,5,232,141.5,17.5,79,zz
AM15_6_10_5b_7.jpg,cannabis,60.208,AM15_6,5,257.5,148.5,18.5,103.5,zz
AM15_6_10_6a_7.jpg,cannabis,56.458,AM15_6,6,254.5,115,18,143.5,zz
AM15_6_10_6b_7.jpg,cannabis,47.361,AM15_6,6,75.5,16,117.5,213.5,zz
AM15_6_10_7a_7.jpg,cannabis,33.973,AM15_6,7,34,212.5,196.5,52.5,zz
AM15_6_10_7b_7.jpg,cannabis,35.015,AM15_6,7,20,180,210,40.5,zz
AM15_6_10_8a_7.jpg,cannabis,21.671,AM15_6,8,18.5,140,238,108.5,zz
AM15_6_10_8b_7.jpg,cannabis,15.032,AM15_6,8,17.5,118.5,228.5,124,zz
AM15_6_10_9a_5.jpg,cannabis,8.677,AM15_6,9,19.5,175.5,224,80.5,zz
AM15_7_12_10a_5.jpg,cannabis,34.605,AM15_7,10,239.5,156.5,17,93,zz
AM15_7_12_10b_5.jpg,cannabis,35.225,AM15_7,10,33.5,16,167,213,zz
AM15_7_12_10c_5.jpg,cannabis,34.128,AM15_7,10,247,172,18.5,82.5,zz
AM15_7_12_10d_5.jpg,cannabis,35.444,AM15_7,10,270,140.5,18,87,zz
AM15_7_12_11a_5.jpg,cannabis,23.048,AM15_7,11,94,213.5,99,16,zz
AM15_7_12_11b_5.jpg,cannabis,24.104,AM15_7,11,36,213.5,195,22,zz
AM15_7_12_11c_5.jpg,cannabis,24.971,AM15_7,11,45.5,212,154.5,15.5,zz
AM15_7_12_11d_5.jpg,cannabis,23.734,AM15_7,11,98.5,211.5,144.5,15.5,zz
AM15_7_12_12b_5.jpg,cannabis,14.146,AM15_7,12,123.5,213,154.5,15.5,zz
AM15_7_12_12c_5.jpg,cannabis,14.05,AM15_7,12,80.5,213.5,126,15.5,zz
AM15_7_12_12d_5.jpg,cannabis,16.761,AM15_7,12,112,214.5,128.5,14,zz
AM15_7_12_4a_5.jpg,cannabis,57.916,AM15_7,4,262,118.5,18,108.5,zz
AM15_7_12_5a_5.jpg,cannabis,54.943,AM15_7,5,280.5,148,19.5,84,zz
AM15_7_12_5b_5.jpg,cannabis,56.954,AM15_7,5,273.5,147,19.5,104,zz
AM15_7_12_5c_5.jpg,cannabis,54.095,AM15_7,5,275,139,19.5,132.5,zz
AM15_7_12_6a_5.jpg,cannabis,50.623,AM15_7,6,238,158,17.5,67.5,zz
AM15_7_12_7a_5.jpg,cannabis,50.106,AM15_7,7,58.5,15,131,214,zz
AM15_7_12_8a_5.jpg,cannabis,40.968,AM15_7,8,238.5,180,30.5,66,zz
BNG_1_9_3a_3.jpg,cannabis,10.972,BNG_1,3,21.5,157,297,155,zz
BNG_1_9_4a_5.jpg,cannabis,20.522,BNG_1,4,299,141.5,21.5,111,zz
BNG_1_9_5a_5.jpg,cannabis,22.189,BNG_1,5,20.5,129,281,134.5,zz
BNG_1_9_6a_7.jpg,cannabis,27.278,BNG_1,6,20,167,237,77,zz
BNG_1_9_6b_7.jpg,cannabis,28,BNG_1,6,17.5,163.5,232.5,72,zz
BNG_1_9_7a_7.jpg,cannabis,20.753,BNG_1,7,18,118.5,246,111,zz
BNG_1_9_7b_7.jpg,cannabis,22.206,BNG_1,7,20,110,259.5,118.5,zz
BNG_1_9_8a_7.jpg,cannabis,12.743,BNG_1,8,27.5,171,206,55,zz
BNG_1_9_8b_7.jpg,cannabis,13.125,BNG_1,8,18,120.5,235,120,zz
BNG_1_9_9b_7.jpg,cannabis,5.325,BNG_1,9,79.5,211,169,15.5,zz
FUT75_2_12_10b_9.jpg,cannabis,34.224,FUT75_2,10,63,175.5,203.5,33,zz
FUT75_2_12_11a_9.jpg,cannabis,32.319,FUT75_2,11,50,164,188,51,zz
