file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
11.154_rep_1_leaf_1.jpg,capsella,160,11.154,1,471,140,38.5,131.5,aa
11.154_rep_1_leaf_10.jpg,capsella,160,11.154,10,484,178,30.5,155.5,aa
11.154_rep_1_leaf_11.jpg,capsella,160,11.154,11,42,135,482.5,143.5,aa
11.154_rep_1_leaf_12.jpg,capsella,160,11.154,12,471,121,35.5,107.5,aa
11.154_rep_1_leaf_13.jpg,capsella,160,11.154,13,486,228,32.5,170.5,aa
11.154_rep_1_leaf_14.jpg,capsella,160,11.154,14,479,95,32.5,84.5,aa
11.154_rep_1_leaf_15.jpg,capsella,160,11.154,15,482,59,36.5,56.5,aa
11.154_rep_1_leaf_16.jpg,capsella,160,11.154,16,478,57,33.5,54.5,aa
11.154_rep_1_leaf_2.jpg,capsella,160,11.154,2,476,137,34.5,143.5,aa
11.154_rep_1_leaf_3.jpg,capsella,160,11.154,3,36,130,479.5,134.5,aa
11.154_rep_1_leaf_4.jpg,capsella,160,11.154,4,480,111,37.5,108.5,aa
11.154_rep_1_leaf_5.jpg,capsella,160,11.154,5,483,83,35.5,84.5,aa
11.154_rep_1_leaf_6.jpg,capsella,160,11.154,6,479,89,32.5,54.5,aa
11.154_rep_1_leaf_7.jpg,capsella,160,11.154,7,477.5,85.5,39.5,88.5,aa
11.154_rep_1_leaf_8.jpg,capsella,160,11.154,8,481,75,35.5,53.5,aa
11.154_rep_1_leaf_9.jpg,capsella,160,11.154,9,480,122,34.5,99.5,aa
11.154_rep_2_leaf_1.jpg,capsella,160,11.154,1,37,115,476.5,101.5,ab
11.154_rep_2_leaf_10.jpg,capsella,160,11.154,10,483,91,36.5,92.5,ab
11.154_rep_2_leaf_11.jpg,capsella,160,11.154,11,482,100,33.5,95.5,ab
11.154_rep_2_leaf_12.jpg,capsella,160,11.154,12,480,42,34.5,53.5,ab
11.154_rep_2_leaf_13.jpg,capsella,160,11.154,13,487,66,38.5,39.5,ab
11.154_rep_2_leaf_14.jpg,capsella,160,11.154,14,480,136,36.5,127.5,ab
11.154_rep_2_leaf_15.jpg,capsella,160,11.154,15,477,180,32.5,174.5,ab
11.154_rep_2_leaf_16.jpg,capsella,160,11.154,16,474,157,33.5,154.5,ab
11.154_rep_2_leaf_17.jpg,capsella,160,11.154,17,483,107,31.5,36.5,ab
11.154_rep_2_leaf_19.jpg,capsella,160,11.154,19,480,91,37.5,88.5,ab
11.154_rep_2_leaf_2.jpg,capsella,160,11.154,2,38,125,480.5,118.5,ab
11.154_rep_2_leaf_3.jpg,capsella,160,11.154,3,479,176,35.5,156.5,ab
11.154_rep_2_leaf_4.jpg,capsella,160,11.154,4,480,92,29.5,99.5,ab
11.154_rep_2_leaf_5.jpg,capsella,160,11.154,5,478,87,38.5,72.5,ab
11.154_rep_2_leaf_6.jpg,capsella,160,11.154,6,478,182,32.5,137.5,ab
11.154_rep_2_leaf_7.jpg,capsella,160,11.154,7,472,206,33.5,193.5,ab
11.154_rep_2_leaf_8.jpg,capsella,160,11.154,8,483,133,32.5,125.5,ab
11.154_rep_2_leaf_9.jpg,capsella,160,11.154,9,479,59,36.5,57.5,ab
11.154_rep_3_leaf_1.jpg,capsella,160,11.154,1,480,168,31.5,98.5,ac
11.154_rep_3_leaf_10.jpg,capsella,160,11.154,10,486,204,31.5,196.5,ac
11.154_rep_3_leaf_11.jpg,capsella,160,11.154,11,487,109,36.5,101.5,ac
11.154_rep_3_leaf_12.jpg,capsella,160,11.154,12,482,138,30.5,151.5,ac
11.154_rep_3_leaf_13.jpg,capsella,160,11.154,13,481,86,32.5,83.5,ac
11.154_rep_3_leaf_14.jpg,capsella,160,11.154,14,481,125,32.5,116.5,ac
11.154_rep_3_leaf_15.jpg,capsella,160,11.154,15,476,59,30.5,45.5,ac
11.154_rep_3_leaf_16.jpg,capsella,160,11.154,16,482,83,44.5,93.5,ac
11.154_rep_3_leaf_17.jpg,capsella,160,11.154,17,479,114,31.5,127.5,ac
11.154_rep_3_leaf_18.jpg,capsella,160,11.154,18,471,118,49.5,120.5,ac
11.154_rep_3_leaf_19.jpg,capsella,160,11.154,19,482,128,33.5,118.5,ac
11.154_rep_3_leaf_2.jpg,capsella,160,11.154,2,482,82,31.5,93.5,ac
11.154_rep_3_leaf_3.jpg,capsella,160,11.154,3,483,178,32.5,199.5,ac
11.154_rep_3_leaf_4.jpg,capsella,160,11.154,4,476,83,33.5,87.5,ac
11.154_rep_3_leaf_5.jpg,capsella,160,11.154,5,478,78,39.5,73.5,ac
11.154_rep_3_leaf_6.jpg,capsella,160,11.154,6,481,84,33.5,86.5,ac
11.154_rep_3_leaf_7.jpg,capsella,160,11.154,7,476,121,34.5,119.5,ac
11.154_rep_3_leaf_8.jpg,capsella,160,11.154,8,482,140,39.5,139.5,ac
11.154_rep_3_leaf_9.jpg,capsella,160,11.154,9,482,35,31.5,35.5,ac
20.292_rep_2_leaf_1.jpg,capsella,152.2,20.292,1,32,126,480.5,111.5,ad
20.292_rep_2_leaf_10.jpg,capsella,152.2,20.292,10,481,107,36.5,94.5,ad
20.292_rep_2_leaf_11.jpg,capsella,152.2,20.292,11,476,124,36.5,96.5,ad
20.292_rep_2_leaf_12.jpg,capsella,152.2,20.292,12,480,50,36.5,58.5,ad
20.292_rep_2_leaf_13.jpg,capsella,152.2,20.292,13,479,132,39.5,113.5,ad
20.292_rep_2_leaf_14.jpg,capsella,152.2,20.292,14,476,157,35.5,144.5,ad
20.292_rep_2_leaf_15.jpg,capsella,152.2,20.292,15,479,151,61.5,115.5,ad
20.292_rep_2_leaf_16.jpg,capsella,152.2,20.292,16,474,104,30.5,104.5,ad
20.292_rep_2_leaf_17.jpg,capsella,152.2,20.292,17,472,114,35.5,114.5,ad
20.292_rep_2_leaf_18.jpg,capsella,152.2,20.292,18,479,124,45.5,128.5,ad
20.292_rep_2_leaf_19.jpg,capsella,152.2,20.292,19,486,77,35.5,71.5,ad
20.292_rep_2_leaf_2.jpg,capsella,152.2,20.292,2,478,60,35.5,66.5,ad
20.292_rep_2_leaf_3.jpg,capsella,152.2,20.292,3,36,84,480.5,86.5,ad
20.292_rep_2_leaf_4.jpg,capsella,152.2,20.292,4,479,67,33.5,56.5,ad
20.292_rep_2_leaf_5.jpg,capsella,152.2,20.292,5,35,182,476.5,129.5,ad
20.292_rep_2_leaf_6.jpg,capsella,152.2,20.292,6,481,43,35.5,38.5,ad
20.292_rep_2_leaf_7.jpg,capsella,152.2,20.292,7,479,82,37.5,81.5,ad
20.292_rep_2_leaf_8.jpg,capsella,152.2,20.292,8,31,97,479.5,76.5,ad
20.292_rep_2_leaf_9.jpg,capsella,152.2,20.292,9,482,61,27.5,94.5,ad
20.292_rep_3_1_leaf_1.jpg,capsella,152.2,20.292,1,477,81,32.5,88.5,ae
