file,dataset,px_cm,genotype,node,base_x,base_y,tip_x,tip_y,rosette_id
LBATSPA21166-2x4-F-MI_0_c_1_9.tif,lobelia,118,batsonii,0,522,978,537.5,121.5,zz
LBATSPA21166-2x4-F-MI_0_c_2_9.tif,lobelia,118,batsonii,0,512,966,541.5,137.5,zz
LBATSPA21166-2x4-F-MI_0_c_3_9.tif,lobelia,118,batsonii,0,560,1036,577.5,63.5,zz
LBATSPA21166-2x4-F-MI_0_c_4_9.tif,lobelia,118,batsonii,0,522,1068,573.5,27.5,zz
LBATSPA21166-2x4-F-MI_0_c_5_9.tif,lobelia,118,batsonii,0,534,1060,523.5,41.5,zz
LBATSPA21166-2x4-F-MI_0_c_6_9.tif,lobelia,118,batsonii,0,540,1020,565.5,79.5,zz
LBATSPA21166-2x4-F-MI_0_c_7_9.tif,lobelia,118,batsonii,0,584,926,553.5,179.5,zz
LBATSPA21166-2x4-F-MI_0_c_8_9.tif,lobelia,118,batsonii,0,540,934,543.5,171.5,zz
LBATSPA21166-2x4-F-MI_0_c_9_9.tif,lobelia,118,batsonii,0,532,828,581.5,269.5,zz
LBATSPA21166-2x4-F-MI_0_r_1_15.tif,lobelia,118,batsonii,0,564,724,569.5,377.5,zz
LBATSPA21166-2x4-F-MI_0_r_10_15.tif,lobelia,118,batsonii,0,566,794,565.5,303.5,zz
LBATSPA21166-2x4-F-MI_0_r_11_15.tif,lobelia,118,batsonii,0,536,784,543.5,317.5,zz
LBATSPA21166-2x4-F-MI_0_r_12_15.tif,lobelia,118,batsonii,0,532,808,535.5,287.5,zz
LBATSPA21166-2x4-F-MI_0_r_13_15.tif,lobelia,118,batsonii,0,548,732,559.5,367.5,zz
LBATSPA21166-2x4-F-MI_0_r_14_15.tif,lobelia,118,batsonii,0,538,688,565.5,417.5,zz
LBATSPA21166-2x4-F-MI_0_r_15_15.tif,lobelia,118,batsonii,0,548,662,561.5,401.5,zz
LBATSPA21166-2x4-F-MI_0_r_2_15.tif,lobelia,118,batsonii,0,530,768,557.5,331.5,zz
LBATSPA21166-2x4-F-MI_0_r_3_15.tif,lobelia,118,batsonii,0,596,848,539.5,253.5,zz
LBATSPA21166-2x4-F-MI_0_r_4_15.tif,lobelia,118,batsonii,0,570,692,565.5,321.5,zz
LBATSPA21166-2x4-F-MI_0_r_5_15.tif,lobelia,118,batsonii,0,548,818,541.5,149.5,zz
LBATSPA21166-2x4-F-MI_0_r_6_15.tif,lobelia,118,batsonii,0,530,882,541.5,215.5,zz
LBATSPA21166-2x4-F-MI_0_r_7_15.tif,lobelia,118,batsonii,0,542,852,541.5,247.5,zz
LBATSPA21166-2x4-F-MI_0_r_8_15.tif,lobelia,118,batsonii,0,496,822,549.5,279.5,zz
LBATSPA21166-2x4-F-MI_0_r_9_15.tif,lobelia,118,batsonii,0,532,736,545.5,365.5,zz
LBATSPA21166-4x2-H-MI_0_c_1_8.tif,lobelia,118,batsonii,0,428,836,417.5,61.5,zz
LBATSPA21166-4x2-H-MI_0_c_2_8.tif,lobelia,118,batsonii,0,434,872,451.5,5.5,zz
LBATSPA21166-4x2-H-MI_0_c_3_8.tif,lobelia,118,batsonii,0,374,874,487.5,23.5,zz
LBATSPA21166-4x2-H-MI_0_c_4_8.tif,lobelia,118,batsonii,0,430,884,427.5,21.5,zz
LBATSPA21166-4x2-H-MI_0_c_5_8.tif,lobelia,118,batsonii,0,390,720,441.5,261.5,zz
LBATSPA21166-4x2-H-MI_0_c_6_8.tif,lobelia,118,batsonii,0,408,698,435.5,199.5,zz
LBATSPA21166-4x2-H-MI_0_c_7_8.tif,lobelia,118,batsonii,0,440,664,423.5,235.5,zz
LBATSPA21166-4x2-H-MI_0_c_8_8.tif,lobelia,118,batsonii,0,446,572,431.5,333.5,zz
LBATSPA21166-4x2-H-MI_0_r_1_6.tif,lobelia,118,batsonii,0,430,628,441.5,269.5,zz
